            age  workclass_cat    fnlwgt  education_cat  education_num  \
0      0.030670       2.624257 -1.063594      -0.335432       1.134721   
1      0.837096       1.721073 -1.008692      -0.335432       1.134721   
2     -0.042641      -0.085295  0.245075       0.181329      -0.420053   
3      1.057031      -0.085295  0.425795      -2.402474      -1.197440   
4     -0.775756      -0.085295  1.408154      -0.335432       1.134721   
5     -0.115953      -0.085295  0.898187       0.439709       1.523415   
6      0.763785      -0.085295 -0.280354      -1.110573      -1.974828   
7      0.983719       1.721073  0.188192       0.181329      -0.420053   
8     -0.555822      -0.085295 -1.364258       0.439709       1.523415   
9      0.250604      -0.085295 -0.287346      -0.335432       1.134721   
10    -0.115953      -0.085295  0.859172       1.214850      -0.031360   
11    -0.629133       2.624257 -0.459321      -0.335432       1.134721   
12    -1.142313      -0.085295 -0.639568      -0.335432       1.134721   
13    -0.482510      -0.085295  0.144393      -0.852192       0.746028   
14     0.103982      -0.085295 -0.644305      -0.593812       0.357334   
15    -0.335887      -0.085295  0.527794      -1.368953      -2.363521   
16    -0.995690       1.721073 -0.123376       0.181329      -0.420053   
17    -0.482510      -0.085295 -0.027990       0.181329      -0.420053   
18    -0.042641      -0.085295 -1.524315      -2.402474      -1.197440   
19     0.323916       1.721073  0.970125       0.439709       1.523415   
20     0.103982      -0.085295  0.035487      -0.077051       2.300802   
21     1.130342      -0.085295  1.064592       0.181329      -0.420053   
22    -0.262576      -2.794847 -1.069952      -1.110573      -1.974828   
23     0.323916      -0.085295 -0.689165      -2.402474      -1.197440   
24     1.496899      -0.085295 -0.765167       0.181329      -0.420053   
25     1.276965      -1.891663  0.256491      -0.335432       1.134721   
26    -1.435559      -0.085295 -0.203547       0.181329      -0.420053   
27     1.130342      -0.085295 -0.090643       1.214850      -0.031360   
28     0.030670      -0.085295  1.681494       0.181329      -0.420053   
29     0.763785      -0.085295  0.033990       0.181329      -0.420053   
...         ...            ...       ...            ...            ...   
32531 -0.629133      -0.085295 -1.477664      -0.335432       1.134721   
32532 -0.335887      -0.085295  0.139106      -0.077051       2.300802   
32533  1.130342      -0.085295  1.404203      -0.335432       1.134721   
32534 -0.115953      -0.085295 -0.100818       1.214850      -0.031360   
32535 -1.215625      -0.085295  1.281427      -2.144094      -0.808747   
32536 -0.335887      -0.085295 -0.280079      -0.335432       1.134721   
32537 -0.629133      -0.085295  1.479106       0.181329      -0.420053   
32538 -0.042641      -0.085295 -0.479378      -0.335432       1.134721   
32539  2.376637      -0.085295  0.924620      -0.077051       2.300802   
32540  0.470539       2.624257  0.591470       0.181329      -0.420053   
32541  0.177293      -0.085295  0.123578       0.181329      -0.420053   
32542  2.449948      -0.085295 -0.567185       0.181329      -0.420053   
32543  0.470539      -1.891663 -0.668682      -0.852192       0.746028   
32544 -0.555822      -0.085295  0.093573       0.439709       1.523415   
32545  0.030670      -1.891663 -0.741633      -0.852192       0.746028   
32546 -0.115953      -0.085295  0.079940      -0.852192       0.746028   
32547  0.323916      -0.085295  0.672503       0.181329      -0.420053   
32548  1.936768       1.721073 -0.856650       0.956470       1.912109   
32549  0.323916       2.624257  0.625833       1.214850      -0.031360   
